-4.750526085,8.355677728,16.95819266,-0.120813965,-9.833171158,14.08080065,1
-4.645595896,8.367451705,17.5682739,-0.241621224,-9.805024131,14.51561718,1
-4.565656246,8.396462421,17.63249354,-0.36220118,-9.785022429,14.4284002,1
-4.474944068,8.430754555,17.05575592,-0.477580712,-9.768349263,13.63508261,1
-4.382733687,8.464450788,15.92101658,-0.593398052,-9.756424594,12.32716917,1
-4.284212659,8.496654683,14.36990529,-0.688893656,-9.730468383,10.526738,1
-4.062887454,8.638522555,12.68185594,-0.926640658,-9.782345747,8.99700436,1
-3.974824227,8.67194139,11.2288754,-0.926946895,-9.761014797,7.67464782,1
-3.872074984,8.731865059,9.839197496,-1.037902671,-9.771623592,6.455766889,1
-3.783652898,8.767624022,8.516648265,-1.095808248,-9.726752525,5.349519445,1
-3.709716319,8.814148218,7.262321106,-1.133187637,-9.739669872,4.405196992,1
-3.689303476,8.844628141,6.090152577,-1.161664763,-9.724546495,3.577984867,1
-3.614495174,8.9133388,4.848762429,-1.226632545,-9.738075081,3.006786785,1
-3.575030279,8.927151354,3.717000863,-1.230710999,-9.745267363,2.337175511,1
-3.528548554,8.941857187,2.843199385,-1.228990454,-9.728064968,1.753875383,1
-3.508785604,8.967763664,2.313878435,-1.211404993,-9.733960543,1.219478042,1
-3.484074404,8.972499459,1.851304333,-1.226138919,-9.732380094,0.748681106,1
-3.461283751,8.987448328,1.524147272,-1.256903708,-9.737994736,0.31846912,1
-3.419869311,9.000878409,1.12689571,-1.272494354,-9.729916744,-0.001777887,1
-3.402427721,9.008913833,0.751533237,-1.267585922,-9.729067179,-0.273359978,1
-3.400539857,9.009411855,0.356401647,-1.271803845,-9.730533077,-0.508386139,2
-3.429559721,8.997797335,-0.222118192,-1.283151108,-9.734163689,-0.735064993,2
-3.439933977,8.982496602,-0.87671951,-1.264455586,-9.726490986,-1.127786866,2
-3.455945662,8.975595954,-1.529433395,-1.249704989,-9.726721752,-1.512822301,2
-3.451820538,8.966728544,-2.177402495,-1.242695172,-9.710415008,-1.835040717,2
-3.497453496,8.957425267,-3.048923481,-1.201148345,-9.732579303,-2.180984855,2
-3.580486537,8.927295204,-3.917845706,-1.17937443,-9.750884585,-2.934056736,2
-3.634109416,8.901854502,-4.774404251,-1.142339729,-9.753268166,-3.675850108,2
-3.70341354,8.860534439,-5.591091838,-1.090726038,-9.76227702,-4.39617173,2
-3.794470193,8.817306245,-6.403783492,-0.99867244,-9.773583001,-5.015953234,2
-3.883339619,8.770501614,-6.943525053,-0.884087247,-9.787114493,-5.892414192,2
-3.988479235,8.721834176,-7.014006693,-0.785379143,-9.808805634,-7.274581078,2
-4.058249155,8.697377979,-6.885191179,-0.710944749,-9.820979221,-8.623884259,2
-4.144753359,8.663447034,-7.212293632,-0.599036959,-9.845219738,-9.795935213,2
-4.227885931,8.651754752,-7.759499164,-0.517406027,-9.883235539,-10.45308992,2
-4.301631477,8.619001536,-8.504034156,-0.431113769,-9.909501938,-10.81463809,2
-4.414453991,8.564454261,-9.377917341,-0.30211902,-9.926810214,-11.13575998,3
-4.513696388,8.487583406,-10.36825727,-0.191342334,-9.927716144,-10.85731373,3
-4.597592959,8.447125473,-11.54346803,-0.084738159,-9.93300546,-9.788855858,3
-4.729491783,8.379373999,-12.38388089,0.08647112,-9.931793456,-8.572898795,3
-4.844698074,8.190322254,-12.99622919,0.241312233,-9.867376121,-6.796845789,3
-4.936972577,8.016228398,-12.94584252,0.450915505,-9.831234926,-5.909791499,4
-4.924182649,7.986350087,-8.822771949,0.579691682,-9.848416981,-5.385465238,4
-4.752534019,8.042821939,-3.246549627,0.422630937,-9.849594589,-2.266213262,4
-4.66274861,8.11221766,1.990975952,0.299566057,-9.833004001,1.405451286,4
-4.648873296,8.134542237,6.075403507,0.201659189,-9.828326668,4.51968703,4
-4.646656525,8.161180674,9.175681841,0.223679585,-9.846165681,7.15103122,4
-4.63242602,8.236041975,11.85109842,0.14365066,-9.828005795,9.267840526,4
-4.523650072,8.314602481,14.11540578,-0.038330394,-9.821627524,11.07199644,4
-4.410811007,8.379163638,15.98990507,-0.124760189,-9.809585477,12.7144875,4
-4.287626706,8.444743324,17.34599575,-0.262768254,-9.804640254,13.83231633,4
-4.127181254,8.512132526,18.18216232,-0.388907777,-9.800484603,14.73084177,1
-4.01420119,8.551675599,18.65941056,-0.513147927,-9.770880539,15.23609003,1
-3.927515107,8.586851719,18.50457445,-0.625558587,-9.750062213,15.14965098,1
-3.798697727,8.639377663,18.12438047,-0.73072878,-9.734729868,14.86866721,1
-3.638909088,8.687392841,17.36660735,-0.920003561,-9.692962162,14.23692456,1
-3.519606748,8.741322636,16.38349035,-1.043959114,-9.661005907,13.36616915,1
-3.406123082,8.809199098,15.07446464,-1.175665704,-9.64063836,12.001754,1
-3.321148399,8.844209787,13.27498043,-1.289445295,-9.625337765,10.05164207,1
-3.252071444,8.851066298,10.93451552,-1.367916183,-9.633790688,7.541547014,1
-3.130520286,8.927385241,9.23518272,-1.493963195,-9.594775667,6.754524478,1
-3.073230526,8.969977025,7.578434927,-1.581019202,-9.604205139,5.092881572,1
