                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31273,                 0.9485,                      1,                 1.2586,               0.066761,             3.3273e-05,             3.3273e-05
                      2,                0.09786,                  0.984,                      1,                 1.1889,                0.03346,             6.6166e-05,             6.6166e-05
                      3,                0.05771,                 0.9815,                      1,                 1.1845,             0.00015945,              9.862e-05,              9.862e-05
                      4,                0.04175,                   0.98,                      1,                 1.1872,              9.802e-05,              9.802e-05,              9.802e-05
                      5,                 0.0308,                 0.9845,                      1,                 1.1822,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                0.01609,                 0.9815,                      1,                 1.1855,              9.736e-05,              9.736e-05,              9.736e-05
                      7,                0.01329,                  0.984,                      1,                 1.1818,               9.67e-05,               9.67e-05,               9.67e-05
                      8,                0.00933,                   0.98,                      1,                  1.184,              9.604e-05,              9.604e-05,              9.604e-05
                      9,                0.00838,                 0.9845,                      1,                 1.1824,              9.538e-05,              9.538e-05,              9.538e-05
                     10,                0.00562,                  0.979,                      1,                 1.1868,              9.472e-05,              9.472e-05,              9.472e-05
                     11,                0.00773,                  0.983,                      1,                 1.1822,              9.406e-05,              9.406e-05,              9.406e-05
                     12,                0.00795,                   0.98,                 0.9995,                 1.1838,               9.34e-05,               9.34e-05,               9.34e-05
                     13,                0.00762,                  0.979,                      1,                 1.1881,              9.274e-05,              9.274e-05,              9.274e-05
                     14,                0.00629,                 0.9835,                      1,                 1.1806,              9.208e-05,              9.208e-05,              9.208e-05
                     15,                0.00547,                  0.984,                      1,                 1.1817,              9.142e-05,              9.142e-05,              9.142e-05
                     16,                0.00611,                 0.9835,                      1,                 1.1813,              9.076e-05,              9.076e-05,              9.076e-05
                     17,                0.00579,                  0.983,                      1,                 1.1799,               9.01e-05,               9.01e-05,               9.01e-05
                     18,                0.00311,                  0.985,                      1,                 1.1794,              8.944e-05,              8.944e-05,              8.944e-05
                     19,                0.00579,                  0.983,                      1,                 1.1821,              8.878e-05,              8.878e-05,              8.878e-05
                     20,                0.01052,                 0.9825,                      1,                 1.1813,              8.812e-05,              8.812e-05,              8.812e-05
                     21,                0.00602,                 0.9825,                      1,                 1.1814,              8.746e-05,              8.746e-05,              8.746e-05
                     22,                0.00373,                 0.9785,                      1,                 1.1863,               8.68e-05,               8.68e-05,               8.68e-05
                     23,                0.00481,                  0.984,                      1,                 1.1795,              8.614e-05,              8.614e-05,              8.614e-05
                     24,                0.00418,                 0.9875,                      1,                 1.1789,              8.548e-05,              8.548e-05,              8.548e-05
                     25,                0.00508,                  0.988,                      1,                 1.1773,              8.482e-05,              8.482e-05,              8.482e-05
                     26,                0.00331,                   0.98,                      1,                 1.1826,              8.416e-05,              8.416e-05,              8.416e-05
                     27,                0.00837,                 0.9835,                      1,                 1.1812,               8.35e-05,               8.35e-05,               8.35e-05
                     28,                0.00548,                 0.9855,                      1,                   1.18,              8.284e-05,              8.284e-05,              8.284e-05
                     29,                0.00261,                  0.985,                      1,                 1.1798,              8.218e-05,              8.218e-05,              8.218e-05
                     30,                0.00089,                  0.987,                      1,                 1.1782,              8.152e-05,              8.152e-05,              8.152e-05
                     31,                0.00157,                  0.985,                      1,                 1.1794,              8.086e-05,              8.086e-05,              8.086e-05
                     32,                0.00178,                  0.984,                      1,                 1.1813,               8.02e-05,               8.02e-05,               8.02e-05
                     33,                0.00224,                  0.984,                      1,                 1.1798,              7.954e-05,              7.954e-05,              7.954e-05
                     34,                0.00921,                  0.985,                 0.9995,                 1.1804,              7.888e-05,              7.888e-05,              7.888e-05
                     35,                0.00272,                 0.9845,                 0.9995,                 1.1802,              7.822e-05,              7.822e-05,              7.822e-05
                     36,                0.00245,                 0.9865,                      1,                 1.1789,              7.756e-05,              7.756e-05,              7.756e-05
                     37,                0.00326,                 0.9845,                 0.9995,                 1.1793,               7.69e-05,               7.69e-05,               7.69e-05
                     38,                0.00775,                 0.9835,                      1,                 1.1812,              7.624e-05,              7.624e-05,              7.624e-05
                     39,                0.00425,                 0.9835,                      1,                 1.1811,              7.558e-05,              7.558e-05,              7.558e-05
