0,320
0.01,321
0.02,320
0.03,322
0.04,322
0.05,320
0.06,321
0.07,320
0.08,321
0.09,321
0.1,321
0.11,322
0.12,321
0.13,322
0.14,321
0.15,321
0.16,324
0.17,321
0.18,321
0.19,321
0.2,321
0.21,321
0.22,322
0.23,321
0.24,320
0.25,320
0.26,320
0.27,321
0.28,321
0.29,321
0.3,320
0.31,322
0.32,322
0.33,323
0.34,318
0.35,321
0.36,321
0.37,323
0.38,321
0.39,324
0.4,327
0.41,321
0.42,335
0.43,319
0.44,328
0.45,319
0.46,320
0.47,318
0.48,318
0.49,321
0.5,319
0.51,320
0.52,317
0.53,318
0.54,319
0.55,319
0.56,319
0.57,319
0.58,320
0.59,312
0.6,322
0.61,325
0.62,324
0.63,321
0.64,324
0.65,311
0.66,323
0.67,315
0.68,323
0.69,325
0.7,326
0.71,322
0.72,363
0.73,337
0.74,304
0.75,325
0.76,353
0.77,320
0.78,331
0.79,316
0.8,323
0.81,291
0.82,319
0.83,325
0.84,325
0.85,319
0.86,319
0.87,320
0.88,323
0.89,319
0.9,319
0.91,322
0.92,321
0.93,322
0.94,319
0.95,323
0.96,327
0.97,322
0.98,318
0.99,318
1,323
1.01,320
1.02,322
1.03,321
1.04,317
1.05,311
1.06,317
1.07,321
1.08,319
1.09,318
1.1,319
1.11,324
1.12,320
1.13,320
1.14,319
1.15,322
1.16,304
1.17,326
1.18,313
1.19,313
1.2,317
1.21,309
1.22,318
1.23,315
1.24,313
1.25,313
1.26,315
1.27,299
1.28,307
1.29,303
1.3,316
1.31,309
1.32,310
1.33,313
1.34,319
1.35,319
1.36,287
1.37,310
1.38,321
1.39,311
1.4,326
1.41,325
1.42,324
1.43,318
1.44,321
1.45,313
1.46,319
1.47,323
1.48,326
1.49,322
1.5,316
1.51,321
1.52,318
1.53,317
1.54,329
1.55,319
1.56,321
1.57,319
1.58,317
1.59,322
1.6,318
1.61,324
1.62,319
1.63,322
1.64,319
1.65,320
1.66,323
1.67,320
1.68,282
1.69,318
1.7,323
1.71,324
1.72,327
1.73,318
1.74,320
1.75,318
1.76,322
1.77,306
1.78,309
1.79,327
1.8,310
1.81,320
1.82,320
1.83,322
1.84,318
1.85,323
1.86,317
1.87,320
1.88,325
1.89,318
1.9,318
1.91,316
1.92,321
1.93,320
1.94,320
1.95,320
1.96,318
1.97,319
1.98,309
1.99,322
2,320
2.01,320
2.02,320
2.03,319
2.04,314
2.05,321
2.06,314
2.07,320
2.08,321
2.09,320
2.1,322
2.11,322
2.12,322
2.13,321
2.14,321
2.15,320
2.16,320
2.17,321
2.18,327
2.19,317
2.2,321
2.21,326
2.22,328
2.23,326
2.24,324
2.25,308
2.26,316
2.27,322
2.28,320
2.29,318
2.3,320
2.31,319
2.32,316
2.33,319
2.34,311
2.35,319
2.36,323
2.37,321
2.38,322
2.39,322
2.4,323
2.41,322
2.42,322
2.43,323
2.44,322
2.45,322
2.46,321
2.47,322
2.48,323
2.49,324
2.5,324
2.51,325
2.52,321
2.53,320
2.54,318
2.55,321
2.56,321
2.57,322
2.58,321
2.59,325
2.6,324
2.61,325
2.62,318
2.63,314
2.64,320
2.65,322
2.66,321
2.67,320
2.68,319
2.69,321
2.7,322
2.71,322
2.72,321
2.73,323
2.74,322
2.75,322
2.76,321
2.77,322
2.78,322
2.79,322
2.8,321
2.81,322
2.82,323
2.83,317
2.84,328
2.85,329
2.86,317
2.87,330
2.88,323
2.89,321
2.9,322
2.91,316
2.92,322
2.93,328
2.94,319
2.95,322
2.96,323
2.97,318
2.98,323
2.99,320
3,321
3.01,320
3.02,316
3.03,320
3.04,323
3.05,322
3.06,321
3.07,322
3.08,320
3.09,320
3.1,322
3.11,321
3.12,321
3.13,323
3.14,324
3.15,318
3.16,321
3.17,321
3.18,331
3.19,326
3.2,321
3.21,313
3.22,323
3.23,327
3.24,308
3.25,315
3.26,310
3.27,320
3.28,326
3.29,325
3.3,319
3.31,327
3.32,322
3.33,322
3.34,321
3.35,319
3.36,319
3.37,319
3.38,321
3.39,320
3.4,321
3.41,323
3.42,323
3.43,320
3.44,321
3.45,322
3.46,321
3.47,322
3.48,321
3.49,329
3.5,318
3.51,330
3.52,321
3.53,321
3.54,320
3.55,315
3.56,320
3.57,308
3.58,319
3.59,320
3.6,322
3.61,318
3.62,318
3.63,317
3.64,321
3.65,324
3.66,325
3.67,321
3.68,320
3.69,324
3.7,324
3.71,322
3.72,321
3.73,320
3.74,321
3.75,322
3.76,308
3.77,319
3.78,323
3.79,320
3.8,323
3.81,322
3.82,324
3.83,319
3.84,326
3.85,329
3.86,328
3.87,328
3.88,311
3.89,323
3.9,322
3.91,324
3.92,321
3.93,323
3.94,320
3.95,326
3.96,322
3.97,318
3.98,319
3.99,316
4,321
4.01,322
4.02,325
4.03,320
4.04,325
4.05,319
4.06,320
4.07,320
4.08,322
4.09,330
4.1,321
4.11,320
4.12,318
4.13,320
4.14,320
4.15,319
4.16,320
4.17,320
4.18,319
4.19,320
4.2,322
4.21,320
4.22,323
4.23,321
4.24,321
4.25,319
4.26,331
4.27,327
4.28,318
4.29,321
4.3,319
4.31,319
4.32,321
4.33,326
4.34,319
4.35,317
4.36,320
4.37,317
4.38,320
4.39,325
4.4,324
4.41,319
4.42,319
4.43,320
4.44,320
4.45,321
4.46,318
4.47,320
4.48,322
4.49,320
4.5,322
4.51,321
4.52,321
4.53,320
4.54,321
4.55,320
4.56,321
4.57,320
4.58,321
4.59,320
4.6,319
4.61,314
4.62,319
4.63,320
4.64,320
4.65,324
4.66,322
4.67,320
4.68,307
4.69,307
4.7,330
4.71,322
4.72,321
4.73,326
4.74,312
4.75,324
4.76,321
4.77,314
4.78,319
4.79,320
4.8,319
4.81,321
4.82,320
4.83,321
4.84,321
4.85,319
4.86,322
4.87,321
4.88,321
4.89,320
4.9,321
4.91,320
4.92,319
4.93,320
4.94,320
4.95,320
4.96,322
4.97,320
4.98,321
4.99,321
5,322
5.01,321
5.02,321
5.03,333
5.04,319
5.05,321
5.06,323
5.07,294
5.08,331
5.09,320
5.1,328
5.11,314
5.12,321
5.13,323
5.14,322
5.15,313
5.16,323
5.17,319
5.18,323
5.19,317
5.2,321
5.21,320
5.22,321
5.23,320
5.24,320
5.25,320
5.26,319
5.27,320
5.28,321
5.29,321
5.3,319
5.31,320
5.32,321
5.33,321
5.34,322
5.35,321
5.36,320
5.37,320
5.38,321
5.39,323
5.4,323
5.41,318
5.42,319
5.43,321
5.44,320
5.45,318
5.46,319
5.47,332
5.48,318
5.49,319
5.5,325
5.51,320
5.52,322
5.53,321
5.54,326
5.55,322
5.56,320
5.57,317
5.58,317
5.59,324
5.6,321
5.61,320
5.62,320
5.63,320
5.64,318
5.65,318
5.66,320
5.67,322
5.68,319
5.69,321
5.7,322
5.71,322
5.72,321
5.73,321
5.74,321
5.75,321
5.76,321
5.77,320
5.78,320
5.79,321
5.8,322
5.81,322
5.82,319
5.83,319
5.84,322
5.85,320
5.86,320
5.87,321
