0.65,323
0.66,322
0.67,324
0.68,323
0.69,323
0.7,325
0.71,323
0.72,324
0.73,324
0.74,323
0.75,323
0.76,323
0.77,324
0.78,321
0.79,323
0.8,322
0.81,323
0.82,324
0.83,325
0.84,323
0.85,322
0.86,323
0.87,326
0.88,323
0.89,327
0.9,318
0.91,320
0.92,321
0.93,327
0.94,321
0.95,321
0.96,323
0.97,324
0.98,322
0.99,321
1,323
1.01,325
1.02,325
1.03,320
1.04,324
1.05,326
1.06,323
1.07,326
1.08,324
1.09,323
1.1,324
1.11,324
1.12,323
1.13,324
1.14,324
1.15,324
1.16,323
1.17,323
1.18,324
1.19,323
1.2,330
1.21,327
1.22,323
1.23,325
1.24,331
1.25,324
1.26,323
1.27,312
1.28,324
1.29,320
1.3,328
1.31,321
1.32,316
1.33,322
1.34,324
1.35,324
1.36,324
1.37,323
1.38,323
1.39,324
1.4,322
1.41,322
1.42,324
1.43,324
1.44,325
1.45,323
1.46,320
1.47,322
1.48,321
1.49,325
1.5,323
1.51,324
1.52,324
1.53,326
1.54,322
1.55,327
1.56,323
1.57,322
1.58,327
1.59,324
1.6,324
1.61,324
1.62,324
1.63,326
1.64,333
1.65,336
1.66,318
1.67,321
1.68,324
1.69,323
1.7,325
1.71,324
1.72,324
1.73,323
1.74,324
1.75,323
1.76,323
1.77,324
1.78,326
1.79,322
1.8,319
1.81,321
1.82,323
1.83,323
1.84,324
1.85,325
1.86,320
1.87,323
1.88,324
1.89,324
1.9,326
1.91,322
1.92,323
1.93,320
1.94,314
1.95,317
1.96,321
1.97,320
1.98,322
1.99,326
2,323
2.01,323
2.02,322
2.03,323
2.04,323
2.05,323
2.06,323
2.07,324
2.08,330
2.09,324
2.1,325
2.11,325
2.12,323
2.13,322
2.14,323
2.15,323
2.16,325
2.17,324
2.18,322
2.19,325
2.2,324
2.21,325
2.22,323
2.23,325
2.24,322
2.25,323
2.26,327
2.27,324
2.28,324
2.29,322
2.3,323
2.31,322
2.32,326
2.33,322
2.34,323
2.35,324
2.36,322
2.37,322
2.38,324
2.39,325
2.4,324
2.41,320
2.42,324
2.43,322
2.44,323
2.45,323
2.46,323
2.47,323
2.48,324
2.49,325
2.5,323
2.51,324
2.52,323
2.53,321
2.54,322
2.55,321
2.56,317
2.57,320
2.58,320
2.59,317
2.6,321
2.61,316
2.62,310
2.63,318
2.64,319
2.65,318
2.66,319
2.67,318
2.68,319
2.69,319
2.7,321
2.71,322
2.72,325
2.73,323
2.74,322
2.75,324
2.76,324
2.77,323
2.78,327
2.79,330
2.8,327
2.81,326
2.82,328
2.83,328
2.84,325
2.85,327
2.86,327
2.87,323
2.88,325
2.89,325
2.9,334
2.91,338
2.92,326
2.93,326
2.94,327
2.95,326
2.96,324
2.97,325
2.98,322
2.99,324
3,324
3.01,324
3.02,324
3.03,324
3.04,324
3.05,323
3.06,324
3.07,324
3.08,323
3.09,325
3.1,324
3.11,326
3.12,324
3.13,326
3.14,325
3.15,324
3.16,322
3.17,323
3.18,334
3.19,325
3.2,323
3.21,321
3.22,328
3.23,325
3.24,320
3.25,326
3.26,325
3.27,324
3.28,324
3.29,323
3.3,324
3.31,324
3.32,325
3.33,324
3.34,324
3.35,324
3.36,323
3.37,323
3.38,321
3.39,324
3.4,324
3.41,322
3.42,322
