0,272
0.01,295
0.02,311
0.03,318
0.04,321
0.05,323
0.06,323
0.07,323
0.08,323
0.09,323
0.1,324
0.11,324
0.12,322
0.13,322
0.14,322
0.15,322
0.16,324
0.17,323
0.18,323
0.19,323
0.2,322
0.21,324
0.22,324
0.23,323
0.24,323
0.25,321
0.26,323
0.27,323
0.28,322
0.29,323
0.3,322
0.31,323
0.32,324
0.33,324
0.34,324
0.35,323
0.36,324
0.37,321
0.38,323
0.39,324
0.4,325
0.41,323
0.42,324
0.43,324
0.44,324
0.45,323
0.46,325
0.47,324
0.48,322
0.49,321
0.5,323
0.51,323
0.52,325
0.53,325
0.54,325
0.55,324
0.56,323
0.57,322
0.58,323
0.59,322
0.6,323
0.61,324
0.62,323
0.63,324
0.64,323
0.65,323
0.66,321
0.67,323
0.68,323
0.69,323
0.7,326
0.71,323
0.72,320
0.73,322
0.74,323
0.75,324
0.76,324
0.77,325
0.78,325
0.79,324
0.8,325
0.81,324
0.82,325
0.83,325
0.84,324
0.85,324
0.86,324
0.87,323
0.88,325
0.89,325
0.9,326
0.91,325
0.92,324
0.93,323
0.94,324
0.95,324
0.96,324
0.97,325
0.98,325
0.99,324
1,324
1.01,325
1.02,324
1.03,324
1.04,324
1.05,325
1.06,324
1.07,324
1.08,324
1.09,324
1.1,323
1.11,324
1.12,325
1.13,325
1.14,325
1.15,325
1.16,325
1.17,324
1.18,324
1.19,324
1.2,326
1.21,324
1.22,324
1.23,324
1.24,324
1.25,325
1.26,323
1.27,323
1.28,319
1.29,322
1.3,323
1.31,327
1.32,326
1.33,326
1.34,325
1.35,324
1.36,325
1.37,324
1.38,326
1.39,323
1.4,323
1.41,326
1.42,323
1.43,323
1.44,318
1.45,325
1.46,325
1.47,326
1.48,330
1.49,323
1.5,323
1.51,325
1.52,320
1.53,323
1.54,325
1.55,310
1.56,323
1.57,322
1.58,323
1.59,334
1.6,331
1.61,344
1.62,333
1.63,316
1.64,326
1.65,329
1.66,323
1.67,325
1.68,323
1.69,325
1.7,327
1.71,328
1.72,319
1.73,322
1.74,325
1.75,326
1.76,324
1.77,325
1.78,326
1.79,323
1.8,323
1.81,322
1.82,324
1.83,325
1.84,324
1.85,323
1.86,323
1.87,323
1.88,322
1.89,326
1.9,326
1.91,326
1.92,339
1.93,324
1.94,322
1.95,329
1.96,328
1.97,329
1.98,319
1.99,323
2,323
2.01,324
2.02,325
2.03,324
2.04,323
2.05,324
2.06,324
2.07,317
2.08,324
2.09,327
2.1,330
2.11,326
2.12,326
2.13,328
2.14,326
2.15,326
2.16,324
2.17,324
2.18,325
2.19,327
2.2,323
2.21,322
2.22,328
2.23,321
2.24,312
2.25,316
2.26,318
2.27,318
2.28,321
2.29,325
